Name,Steps,HeartRate,CaloriesBurned,HoursOfSleep,DistanceWalked,ActivityType
Kimberly Berg,11955,82.1,1800.3,8.8,1.17,Cycling
Heidi Mcbride,14005,83.3,1904.8,6.4,5.34,Running
Robert Ward,12989,65.2,2330.4,4.5,3.22,Running
Shane Harvey,2076,82.1,2575.2,4.0,2.88,Resting
Amber Sanchez,11646,86.1,2033.5,8.4,6.71,Running
Rebecca Mora,11907,88.7,2387.7,5.8,4.1,Resting
Christina Johnson,14800,94.1,2314.2,7.5,13.13,Cycling
Christopher Medina,5140,83.7,1964.6,5.0,2.87,Running
Sharon Kelly,7000,86.9,2080.0,7.5,9.44,Running
Crystal White,16170,71.8,2910.9,6.3,4.85,Running
Kathleen Thomas,14615,87.8,1831.7,5.9,13.12,Walking
Sarah Jackson,6145,83.7,2303.9,9.4,12.61,Cycling
Robert Anderson,4340,79.4,2386.2,9.5,1.91,Walking
Hunter Townsend,13629,79.9,2182.4,9.5,8.87,Walking
Donna Vargas,7811,78.5,2256.2,9.3,4.14,Running
Matthew Quinn,11305,73.2,2671.5,7.9,5.74,Cycling
John Young,15266,79.2,1733.7,9.8,13.95,Cycling
Dr. Daniel Klein,12529,90.7,2313.6,8.1,13.32,Resting
Isaac Walters,5419,75.0,2993.8,4.7,2.23,Walking
David Wolf,3922,73.6,2585.8,4.7,5.15,Running
Cindy Brown,16256,80.1,1963.5,9.6,8.21,Running
Robert Rodriguez,18048,87.0,2195.2,9.2,12.6,Running
Roberto Davis,7878,68.2,1707.4,9.1,3.78,Cycling
Dana Reyes,3332,95.6,1742.6,9.5,14.81,Walking
Victor Watts,5681,88.4,2448.5,8.4,11.65,Cycling
David Delgado,13047,74.8,3021.1,4.5,5.24,Cycling
Kimberly Higgins,11799,54.2,2243.6,8.3,13.41,Cycling
Erik Willis,7553,66.3,1917.5,6.4,2.31,Resting
Mrs. Kristi Rios,17890,80.8,1627.5,9.2,6.06,Running
Michael Gonzalez,7046,67.9,2965.4,8.9,10.82,Running
Mr. Shane Jackson,17112,61.3,2611.3,8.0,3.71,Resting
Steven Harmon,16232,90.2,3005.5,10.0,1.57,Walking
Melanie Jensen,1622,89.7,1817.5,4.3,2.89,Walking
Wendy Mathis,9771,75.2,1651.0,8.0,10.28,Cycling
Daniel Hoffman,19348,71.7,1488.2,8.8,12.6,Walking
Kimberly Powell,10622,69.1,2591.5,4.8,13.56,Running
Kristen Willis,13250,74.6,2097.0,6.2,11.49,Cycling
Tyler Graves,15368,85.2,2400.9,9.6,9.51,Resting
Dr. Barbara Wolf,18369,85.9,2012.4,4.6,7.38,Running
Patricia Evans,5180,79.1,2344.3,9.6,8.92,Resting
Justin Ball,11522,84.2,2261.1,8.4,7.56,Walking
William Young,3393,76.9,2639.8,7.9,12.49,Resting
Jessica Burch,11642,72.2,1814.4,9.3,6.86,Walking
Todd Weeks,2499,74.9,1453.5,7.5,5.71,Resting
Nancy Smith,13552,94.4,2283.4,6.2,10.47,Cycling
Anthony Hess,16104,86.9,1635.6,7.1,13.26,Cycling
Jennifer Taylor,17000,73.1,2371.6,7.8,11.14,Walking
Michael Thompson,5506,73.3,2595.0,7.8,6.36,Resting
Bianca Thornton,19404,72.1,2038.2,4.4,1.98,Running
Barbara Bishop,14744,79.2,1647.0,4.2,7.89,Running
Matthew Smith,10244,72.2,2057.0,8.1,9.9,Resting
Stacy Bridges,1782,86.7,1972.9,8.7,5.66,Resting
Christine Davis,17207,85.7,2049.2,7.2,4.26,Cycling
Jeremy Weber,3197,83.9,1758.1,4.7,5.35,Running
Clinton West,7465,79.4,1841.2,7.5,14.87,Cycling
Christine Shaw,12587,82.0,2093.3,9.3,8.6,Walking
William Cunningham,1100,80.4,2228.9,10.0,6.09,Resting
Cynthia Conner,16859,78.4,2764.7,8.1,5.9,Running
Bethany Kelly,18329,92.7,1611.6,8.8,13.98,Running
Jordan Burns DDS,9349,72.0,2034.3,7.7,13.62,Cycling
Edwin Cummings,9570,70.1,2781.8,5.9,2.18,Walking
Amber Walters,17369,79.9,1959.6,6.3,9.02,Running
Elizabeth Tran,12526,84.8,2207.2,9.0,9.76,Resting
Kimberly Alvarez,19517,92.4,1845.8,5.6,2.15,Running
Christopher Shannon,11237,81.1,1740.7,8.9,8.03,Walking
Dr. Sara Orozco DDS,13145,75.9,2037.2,6.5,9.52,Running
Jennifer Schneider,9316,70.2,1997.1,4.7,5.79,Walking
Matthew Mcclain,15258,79.2,1533.0,5.2,6.85,Walking
Lance Pineda,13326,81.2,2457.1,5.4,4.45,Resting
Darlene Tate,17118,77.1,2772.1,7.0,13.91,Walking
Laurie Rice,8439,97.4,2385.8,10.0,9.96,Running
Christina Garcia,8823,72.4,2282.1,6.4,12.87,Cycling
Amy Carter,13857,90.3,2718.0,4.5,8.94,Running
Jennifer Mercer,19340,61.6,2259.1,8.9,8.34,Running
Kimberly Long,18478,73.8,2047.8,5.3,6.23,Resting
Alexandra Rowland,13703,80.4,2141.9,5.2,9.46,Running
Gerald Thompson,4871,70.3,3368.8,4.8,10.85,Cycling
Mark Lowe,9575,85.2,1840.1,5.9,7.37,Running
Monica Sharp,7424,87.1,2316.0,6.1,7.49,Walking
Christina Young,14341,63.8,2262.4,8.4,1.19,Cycling
Jenny Robbins,8405,71.6,2097.4,4.9,14.37,Running
Michael Yu,11347,86.9,1795.5,4.2,3.77,Resting
Gregory Fletcher,18816,72.5,2196.2,4.7,13.39,Running
Robert Cook,16503,75.5,1911.1,8.6,5.86,Running
Danielle Roberts,17542,86.2,1416.4,7.4,3.96,Walking
Jill Dickerson,8594,80.7,2252.0,6.3,1.13,Cycling
Miguel Hall,16570,68.7,2695.4,6.5,10.51,Cycling
David Reynolds,18693,76.1,1989.1,6.0,11.78,Walking
Tami Ford,6576,84.0,2304.1,5.9,2.69,Resting
Bridget Long,18271,92.3,1898.4,6.7,12.84,Cycling
Bonnie Skinner DDS,10123,77.5,2091.3,4.1,12.29,Resting
Rachel Chavez,7420,65.0,1865.4,5.4,11.24,Resting
Geoffrey Kidd,11887,76.9,1960.5,9.8,6.98,Running
Dana Campbell,18465,76.5,2106.2,9.2,6.68,Walking
Adam Jones,12097,80.0,2258.0,4.9,7.37,Resting
Sean Walker,3441,79.9,1558.3,4.2,11.46,Walking
Aaron Johnson,17721,90.1,1723.7,9.3,12.79,Cycling
Lisa Grant,11153,90.7,2228.6,6.7,8.52,Cycling
Thomas Elliott,3380,88.0,1895.6,9.4,2.45,Resting
Tiffany Mckee,9012,86.5,2276.4,8.7,10.78,Cycling
Rose Smith,13122,91.2,1754.2,5.2,1.78,Walking
Isabella Clark,5819,74.5,2676.6,7.4,12.42,Running
Ashley Figueroa,16074,74.2,2124.2,4.1,11.23,Resting
Terri Brown,18169,69.1,1404.6,5.9,7.77,Walking
Kimberly Sweeney,12710,64.0,2993.6,8.7,14.65,Walking
Angela Flores,12677,69.9,1622.3,7.3,12.94,Resting
Jasmine Simmons,9885,57.7,1991.3,5.8,1.66,Cycling
Tommy Haley,8143,72.3,2511.3,8.9,7.04,Cycling
Kayla Moore,1550,58.0,1748.8,7.9,10.15,Resting
Stacey Jones,7869,88.0,1968.8,5.2,14.65,Walking
Allison Torres,4435,63.5,2084.4,7.5,8.53,Running
Lisa Miller,1378,79.1,1217.7,4.4,1.31,Resting
Nancy Moore,13472,67.4,1397.5,7.8,3.07,Walking
Sarah Tucker,16695,74.6,1596.9,5.7,10.41,Walking
Benjamin Hood,14488,71.3,1370.9,6.0,12.24,Cycling
Mr. Matthew Anderson,12397,64.0,2975.4,5.5,8.88,Running
Amber Hayes,14957,58.2,2680.4,8.6,6.73,Running
Nathaniel Greene,4021,75.7,2252.3,9.7,5.77,Running
Stephanie Alvarez,7864,75.6,1555.7,6.7,5.38,Cycling
Kendra Oconnell,16452,78.3,2083.2,9.8,1.96,Walking
Jacqueline Blevins,18546,63.4,2129.4,7.0,5.81,Cycling
Theodore Coleman,2172,82.1,1655.8,8.8,6.89,Running
Keith Edwards,14803,66.4,1889.9,6.1,7.85,Cycling
Stephen Martin,7606,77.8,1744.9,4.2,7.07,Resting
Kimberly Baker,9051,67.3,2551.4,7.4,9.31,Running
Veronica Herrera,17160,70.1,1248.3,9.3,7.34,Running
Lydia Hamilton,17550,70.8,2063.6,6.7,10.81,Resting
Monica Lewis,11373,81.7,2101.7,5.4,1.74,Cycling
Alexandra Moody,13251,65.3,2403.3,6.1,14.92,Cycling
Kevin Barton,3589,86.3,2774.1,5.1,9.77,Running
Mary Marshall,5627,82.7,2117.5,8.3,13.79,Resting
Bailey Castro,11061,85.1,1872.8,5.0,1.41,Cycling
Jason Avila,2318,55.6,2162.2,8.8,12.42,Cycling
Robert Mendez,6467,51.9,2054.6,6.4,5.7,Walking
Christopher Robinson,16631,60.8,2388.5,8.7,2.11,Resting
Annette Johnson,11985,81.1,2777.1,6.4,5.3,Resting
Matthew Hester,15676,84.1,1443.1,7.0,11.14,Cycling
Alicia Reyes,12545,65.6,2271.4,6.2,9.55,Walking
Andrew Lucero,18223,77.1,2968.1,6.5,5.32,Running
Phillip Martinez,7625,75.9,2359.3,7.9,1.74,Resting
Alexa Day,17221,83.3,2647.9,8.7,12.44,Running
Kim David,18973,63.1,1948.8,4.8,4.37,Cycling
Robert Casey,6628,68.9,2191.6,8.3,2.53,Running
Kenneth Franklin,15720,74.0,2159.7,8.0,3.17,Running
Bianca Calderon,11464,63.5,1768.4,4.7,7.73,Cycling
Samantha Harris,3006,53.7,2489.5,5.3,9.5,Cycling
Anthony Shaw,16400,76.7,1789.4,5.5,3.97,Walking
Gabriella Anderson,3130,95.4,2042.3,5.2,7.71,Cycling
Matthew Guzman,14305,73.1,2390.5,5.9,13.04,Walking
David Brown,12614,65.2,1783.4,8.0,7.57,Cycling
Eric Cohen,12665,66.9,2173.4,6.5,1.4,Running
Diana Flores,12825,83.7,2772.3,9.2,2.43,Running
Travis Farmer,17113,63.2,1290.7,6.3,13.0,Cycling
James Jenkins,10155,86.0,1948.0,7.0,6.8,Cycling
Mark Wilson,18795,78.3,2852.3,8.7,14.93,Walking
Allen Hill,3073,74.0,2037.7,6.2,7.38,Running
Alejandro Franklin,6865,67.7,2035.0,6.6,7.1,Walking
Robert Compton,12418,63.0,1518.8,5.2,14.31,Running
Philip Garcia,15989,77.8,2195.7,8.4,9.41,Running
Shelly Moss,15019,90.3,2110.1,4.5,13.9,Resting
Melissa Mcknight,15258,83.6,1705.3,8.7,8.95,Running
Tyler Howell,19857,73.8,2793.2,9.5,12.27,Running
Kenneth White,1926,59.5,1953.2,7.8,1.45,Running
Mitchell Wells,13953,91.4,2419.6,9.7,9.35,Running
Tara Gill,15407,103.2,1878.6,6.1,8.72,Cycling
Thomas Smith,8181,75.6,1415.5,5.7,11.43,Running
Kenneth Simpson,19218,66.4,1791.7,9.4,1.36,Walking
Karl Willis,8311,64.5,2733.6,7.8,8.46,Cycling
Debbie James,1532,80.7,2383.7,9.3,8.83,Walking
Tara Fernandez,13754,83.5,1658.7,9.9,10.07,Resting
Brian Campbell,19125,81.7,1733.1,8.0,1.73,Walking
Lacey Marshall,9643,71.8,2300.0,7.9,3.5,Resting
Andrew Todd,19490,98.6,2762.9,8.3,6.44,Running
Susan Lyons,7116,77.6,2436.8,8.7,1.56,Resting
Rodney Palmer,14361,82.9,2747.1,6.8,9.92,Cycling
Anna Summers,4710,77.5,2291.3,5.4,3.13,Running
Victoria Harris,16762,72.1,2208.7,10.0,6.25,Resting
Patty Guerra,7755,64.1,2164.6,7.5,7.7,Resting
Jennifer Harris,12074,85.7,1261.9,9.4,5.19,Resting
Jennifer Henry,12271,78.6,2067.7,8.2,8.84,Resting
Jason Edwards,2527,76.9,1950.8,6.7,14.82,Resting
Bobby Thomas,13728,73.4,1455.4,5.0,5.69,Walking
Sarah Perkins,6127,69.8,2439.0,6.3,12.08,Walking
Gregory Henry,10348,67.2,2987.8,7.0,2.63,Resting
Jenny Fritz,2441,90.1,2022.2,8.4,11.45,Resting
Justin Wilson,14484,61.5,1793.6,9.4,12.67,Running
Stephanie Pope,13757,82.2,2368.1,6.3,6.43,Running
Ashley Horne,14281,57.7,2187.3,7.2,14.35,Walking
Thomas Riley,4762,59.0,2531.2,4.4,3.04,Resting
Janet Jenkins,2020,95.2,3085.7,8.5,6.75,Resting
Daniel Keith,13739,83.7,2431.9,5.4,8.87,Running
Christine Johnson,13784,60.9,2128.7,4.7,14.31,Walking
Brett Jones,7702,76.9,2216.3,9.5,8.85,Walking
James Martin,3415,82.7,2108.7,6.0,4.7,Resting
Nicholas Cummings,10355,62.1,2149.0,6.4,4.84,Resting
Alexandra Butler,9039,68.8,1592.0,10.0,11.52,Running
Yvonne Ryan,9050,72.7,2192.1,9.6,12.17,Cycling
Steve Gonzalez,17914,70.7,2532.6,8.6,2.39,Resting
Jessica Moreno,19877,72.5,2271.0,4.3,6.3,Running
Dr. Veronica Gonzalez DDS,16692,74.1,2869.6,4.0,3.99,Cycling
Michael Lopez,16234,80.4,2287.9,7.4,4.79,Running
Dr. Patricia Harris,19168,82.9,2316.3,6.6,1.02,Walking
William Barnett,10445,82.5,2775.9,6.9,9.84,Cycling
Michelle Hart,13168,78.3,2253.7,9.9,3.01,Walking
Jeffrey Humphrey,16534,77.3,2292.4,4.7,11.01,Cycling
Danny Roach,4592,88.0,3127.8,6.6,5.74,Cycling
Erika Flores,9109,63.8,2290.0,4.1,5.93,Cycling
Thomas Bass,1209,74.4,2915.0,4.6,3.19,Cycling
Anthony Ramirez,14597,57.9,2590.9,5.9,14.93,Walking
Jessica Brown,2634,86.2,2651.8,6.5,7.33,Cycling
Kristine Young,5570,67.1,2300.5,4.1,12.41,Resting
Chelsea Nguyen,9039,69.3,2138.2,9.4,14.54,Cycling
Laura Thompson,17672,85.6,1918.0,9.3,14.31,Resting
Nancy Rodriguez,17606,70.4,1342.8,8.0,10.65,Cycling
Mary Shea,17577,76.0,2153.7,7.5,14.58,Cycling
Randall Alvarado,8590,79.8,1703.2,5.0,13.61,Walking
Dillon Butler,17420,68.0,1601.0,4.5,14.46,Walking
Richard Williams,17792,64.4,2167.5,9.9,6.37,Walking
Shane Woods,1384,86.7,2775.6,5.8,6.49,Resting
Jamie Wallace,19900,82.7,2505.2,6.3,3.62,Running
Jimmy Carter,16752,68.3,3010.1,5.0,3.68,Resting
Felicia Carroll,1862,75.4,1898.5,7.9,8.6,Walking
Mr. John Boone,4731,71.8,1947.4,6.9,12.15,Resting
David Bender,11841,70.9,2505.6,6.7,9.64,Walking
Maria Lucas,3892,71.9,2501.0,8.2,10.68,Cycling
Ann Green,2986,68.4,2374.4,6.4,2.72,Cycling
Amber Decker,1126,68.3,2290.1,6.7,6.43,Cycling
Joshua Williams,8111,70.8,1647.7,7.4,4.04,Walking
Aaron Long,10864,82.6,3027.5,5.3,9.18,Running
Amy Reed,13440,80.6,2003.9,5.9,3.62,Walking
Jacob May,15619,77.3,2217.7,4.1,14.47,Walking
Danielle Olsen,11819,86.4,1669.5,4.7,13.43,Walking
Mr. Jonathan Melton MD,3159,72.2,2434.0,8.2,7.66,Running
Randall Kelly,1469,76.5,2304.5,7.0,10.58,Running
Suzanne Mcclure,2686,73.6,2302.8,6.7,9.85,Running
Ashley Marsh,1591,72.9,2189.8,5.7,11.68,Walking
Ashley Kim,15076,78.6,1964.0,6.2,12.44,Walking
Lori Hurley,7421,80.6,2314.3,4.9,3.08,Running
Nathan Rivera,12542,52.4,2126.1,6.7,1.19,Cycling
Katherine Ramsey,12557,84.2,1593.5,9.3,9.62,Running
Joseph Case,6766,73.3,2859.3,7.0,1.16,Cycling
Andrea Lee,2855,82.4,1377.1,8.9,4.69,Cycling
Alice Clark,8052,81.8,3165.7,4.3,2.62,Resting
Michael Reynolds,10537,71.9,2348.9,5.2,10.93,Cycling
Tracey Ford,7350,81.2,1730.7,9.3,13.84,Resting
Roberto Dominguez,18852,53.2,2008.1,5.7,8.07,Resting
Jordan Hall,4280,44.3,2568.7,4.3,1.54,Running
Katelyn Dunlap,10951,66.7,1960.1,4.2,13.0,Running
Roberto Hurst,1652,61.4,2084.3,6.3,10.04,Resting
Susan Johnson,12279,85.2,2079.2,4.8,12.14,Resting
Ruth Smith,15039,82.2,2248.1,9.8,2.72,Cycling
Bryce Bird,8165,73.6,1867.4,10.0,10.69,Cycling
Cynthia Bell,19551,71.2,2926.8,8.2,14.2,Cycling
Shannon Williams,5159,62.3,1794.7,4.8,6.27,Resting
Jodi Jackson,2909,72.8,2013.2,5.6,3.45,Resting
Nancy Reyes,12840,69.9,2968.2,6.8,13.89,Running
Michele Olson,7632,57.2,2112.7,5.5,14.69,Resting
Mark Dyer,16051,78.4,1777.5,6.9,9.39,Running
Dylan Gilbert MD,5884,75.2,3312.5,4.7,13.18,Resting
Mandy Conley,2987,69.4,1984.1,4.3,2.16,Running
David Rodriguez,12543,81.7,2213.5,5.1,10.21,Running
Ryan Cooper,1513,69.8,1667.6,4.5,13.23,Resting
Joseph Flores,1854,97.2,2714.5,7.0,1.76,Walking
Mike Carpenter,17512,74.7,1683.1,6.7,13.37,Cycling
Mr. Daniel Ochoa,5857,81.9,2884.6,5.4,8.05,Resting
Beth Parker DDS,1982,69.8,2263.5,6.3,5.42,Resting
Ashley Cobb,13885,80.1,1616.2,7.2,6.98,Resting
Victoria Fowler,2193,75.9,2408.5,6.4,10.55,Walking
Johnny Morgan,1770,79.7,2827.4,5.3,6.92,Walking
Tasha Jackson,15204,58.9,1796.0,5.0,2.39,Running
Brent Marks,18849,80.4,1485.0,5.6,6.85,Running
Karen Herrera,5938,70.2,2371.9,4.8,3.52,Running
Amy Bowen,2161,65.3,2269.8,4.5,14.92,Walking
Andre Thompson,5924,85.5,2643.4,7.9,9.31,Running
Ronald Lopez,12878,72.4,1891.8,8.3,14.26,Resting
Heather Caldwell,19616,78.0,2375.9,6.2,4.64,Cycling
Cheryl Chambers,19091,78.3,2315.8,9.4,5.35,Resting
Justin Taylor,5406,73.2,1979.0,6.1,9.65,Walking
Dr. Julie Roberts,3394,64.2,2740.1,5.8,11.95,Running
James Nielsen,15741,90.4,2368.1,4.8,3.96,Resting
Luis Clark,4224,68.3,2355.3,4.2,9.43,Running
Michelle Montgomery,19226,77.5,2873.0,6.7,2.0,Resting
Crystal Campbell,11772,75.5,2060.9,5.7,4.22,Running
Breanna Torres,14491,76.5,1868.0,4.6,4.87,Cycling
Carrie Smith,10233,69.1,2659.9,4.3,12.42,Running
Rachel Griffin,9327,88.3,2524.8,4.6,13.65,Running
Julie Terrell,7669,62.2,1726.6,9.9,9.26,Cycling
Jason Brooks,16103,73.1,2403.9,9.4,11.24,Running
Anthony Klein,14959,74.5,2665.7,6.9,7.89,Walking
Brooke Robinson,12498,79.4,2593.6,4.5,14.99,Running
Stacey Reed,8932,74.8,1947.5,7.5,3.93,Resting
Thomas Riley,7644,68.9,2118.5,6.5,6.02,Resting
Sergio Velazquez,3021,72.7,2403.7,8.3,13.0,Cycling
Gregory Douglas,4168,56.2,2004.7,6.1,1.83,Cycling
Catherine Owens,6074,69.8,1951.9,5.1,3.57,Cycling
Mallory Smith,5257,90.7,1739.2,8.7,6.14,Walking
Michael Munoz,12171,80.1,2146.7,7.0,12.13,Walking
Joan Bell,14545,111.3,2471.2,8.6,3.75,Walking
Alyssa Hendricks,6935,83.8,2034.9,7.9,14.82,Cycling
Brittney Small,9345,76.4,2462.0,5.9,7.0,Cycling
Carla Wood,14044,76.7,1983.7,6.2,5.35,Running
Adam Webb,16471,83.1,1891.2,9.2,14.26,Resting
Nathaniel Osborne,3016,65.0,2582.7,8.8,3.53,Cycling
Megan Barnes,11291,77.1,3154.4,4.0,11.16,Resting
Evan Potter,16883,79.4,2322.4,8.4,11.99,Resting
Amanda Hall,10053,77.5,2423.3,7.8,2.09,Resting
John Lopez,14541,68.7,2644.1,9.8,13.05,Running
Morgan Moore,16498,58.3,2299.1,5.6,11.48,Walking
Ashley Smith,4579,103.2,2617.6,6.2,2.5,Cycling
Virginia Hart,7885,77.6,1747.5,5.4,2.83,Running
Austin Morris,1828,71.2,2483.7,8.6,1.72,Running
Tony Hurley,1447,95.1,1624.7,4.9,14.94,Cycling
Kenneth Perry,8789,57.3,1986.1,4.7,12.1,Running
Valerie Andersen,17647,75.5,2045.0,5.0,5.89,Walking
Allison Lee,12433,53.7,1671.2,7.4,5.18,Resting
Brittany Myers,10505,80.0,3266.5,7.4,14.65,Resting
Richard Christian,7312,76.7,1844.9,9.5,5.42,Walking
Marcus Gibson,11321,75.9,2354.4,4.6,13.84,Resting
Adam Wilcox,6582,76.7,2534.5,4.2,3.56,Walking
Frank Nichols,7701,56.6,1449.4,6.7,4.22,Running
Nicole Spencer,13155,93.5,2552.5,7.4,11.17,Cycling
Kelly Morrison,6734,68.1,2490.1,8.8,8.98,Cycling
Janet Lucas,10547,91.5,1150.2,7.0,3.61,Cycling
Michelle Kelley,7320,67.6,2422.6,4.4,5.84,Cycling
Amber Kidd,17682,74.8,1902.8,9.4,13.24,Resting
Cassidy Davis,16881,66.5,2430.4,7.6,6.55,Cycling
Edward Mason,18765,92.1,1922.1,4.7,14.7,Cycling
Glenda Phillips,11204,70.2,2771.1,9.1,3.93,Cycling
Lisa Perez,4961,71.1,2899.5,5.4,11.69,Walking
Ivan Gibson,13566,67.3,2339.1,5.3,4.69,Resting
Shannon Nolan,3425,62.4,2031.4,5.1,14.78,Cycling
Cameron Phelps,13667,56.8,2715.7,4.8,14.62,Cycling
Elizabeth Allen,12662,80.3,1770.3,9.8,2.8,Running
Jared Gonzalez,7257,77.5,2285.9,9.6,3.77,Resting
Alexis Johnson,3656,67.0,1976.6,4.3,12.96,Walking
Tina Stone,8286,68.0,1817.9,6.4,4.09,Walking
Alyssa Kim,1332,64.8,2180.6,4.2,9.45,Running
Molly Hodges,18834,82.7,2404.0,9.1,5.83,Cycling
Donna Curtis,12546,67.3,2426.2,6.9,12.65,Running
Bryan Williams,12209,62.2,2432.6,5.7,12.38,Resting
Jason Gonzalez,18479,72.5,2008.5,9.1,6.59,Walking
Barbara Weeks,10885,80.4,1665.0,5.6,8.0,Resting
Amanda George,2206,65.5,2206.2,5.9,7.54,Cycling
Tiffany Hines,19200,79.5,2191.6,5.4,8.59,Running
Jillian Santos,17431,91.8,2583.4,6.2,8.08,Resting
Jacqueline Davis,19642,67.6,2493.3,6.0,14.03,Running
Tammy Kelly,16644,76.0,1921.3,6.4,6.5,Resting
Lori Harris,9734,83.9,1544.6,8.5,7.12,Walking
Angel Park,12389,70.0,2551.1,9.7,5.27,Walking
Michael Barker,6652,73.5,2442.2,8.4,14.42,Running
Ryan Warren,1139,77.8,2957.8,6.0,6.73,Resting
Steven Parker,9820,94.8,1617.2,7.3,10.6,Resting
Christine Martin,8365,72.2,2271.2,4.5,7.07,Resting
Erin Brooks,11672,59.4,1801.0,8.7,10.28,Walking
James Maddox,14730,87.1,2078.5,5.5,10.22,Cycling
Ryan Mitchell,11808,64.6,2264.7,7.0,10.45,Resting
Gabriel Little,1816,100.9,2206.2,7.2,6.99,Resting
Lisa Gross,5845,63.7,1733.9,8.9,8.22,Walking
Stephen Brock,10793,66.5,2253.8,7.5,2.04,Walking
Kristin Mccoy,19300,79.4,2201.6,7.0,1.0,Resting
Robert Gould,19717,71.5,2202.2,5.8,3.41,Walking
Daniel Rojas,13145,82.7,2343.0,6.7,6.23,Walking
Melanie Perez,6458,68.9,3000.9,9.7,2.69,Walking
Alexis Dean,10150,91.4,1761.3,7.3,13.06,Running
William Wang,7610,90.0,2005.9,5.5,8.0,Resting
Anne Sanders,17082,63.3,2868.4,7.3,14.31,Walking
Sabrina Nelson,14673,66.0,1610.4,8.9,5.46,Running
Carrie Jimenez PhD,5400,68.4,2297.0,7.1,9.92,Cycling
Jill Novak,10234,65.9,1376.7,7.0,11.34,Walking
Karen Alexander,2745,78.0,1667.0,6.6,9.5,Running
Hannah Kane,6608,68.5,2454.5,6.1,10.1,Running
Mary Dixon,8770,73.3,2453.4,5.2,3.05,Cycling
Christopher Benjamin,7437,79.9,2188.0,7.5,1.55,Walking
Stephanie Farmer,17372,62.3,2009.1,9.4,4.37,Resting
John Mullen,14469,74.2,2438.5,4.0,11.84,Walking
Teresa Dunn,6787,70.7,2419.5,9.5,11.12,Running
Sandra Jacobson,19647,92.3,2320.0,8.5,5.32,Walking
Sharon Marshall,19832,87.7,2653.1,7.2,2.41,Walking
Mary Gray,6834,73.2,1736.4,7.8,12.02,Running
Robert Horton,10912,70.3,2244.4,4.0,11.79,Resting
Angie Hobbs,10701,68.5,2879.1,4.2,1.14,Walking
Desiree Valdez,2464,72.4,2144.2,9.2,8.54,Walking
Diane Hall,15387,59.8,2047.8,8.0,7.9,Walking
Colton Green,10679,60.4,2257.9,7.6,8.85,Running
Mark Davis,1376,85.3,1682.0,7.0,7.36,Cycling
Tony Marquez,19489,71.0,1997.9,5.1,5.53,Cycling
Mark Alvarez,6197,80.6,1987.0,9.3,7.39,Cycling
Jessica Johnson,10288,91.7,2468.4,8.2,1.72,Walking
Richard Marshall,7662,81.9,2521.0,4.6,2.89,Resting
Patricia Castillo,15712,83.3,2080.4,7.3,2.21,Resting
Alyssa Walls,19817,77.4,2048.9,6.3,7.27,Walking
Thomas Buchanan,16151,84.8,1952.8,8.4,2.6,Running
Donald Brown,3614,86.5,1752.4,7.2,4.0,Running
Brian Roberts,9460,74.6,2459.3,5.9,6.76,Running
Beth Williams,7378,84.4,1707.4,5.4,4.55,Walking
Janet Dawson,8060,82.3,2743.7,5.2,5.25,Walking
Bryan Parker,7446,68.5,2092.7,9.1,9.64,Resting
Earl Meyer,4911,62.7,3098.9,8.6,3.89,Running
Richard King,7901,76.3,2681.7,7.4,1.31,Running
Debra Gaines,14249,70.9,2591.2,5.1,10.79,Cycling
Nathaniel Perez,4013,78.5,2866.2,4.4,8.95,Resting
Randall Morales,8702,70.0,2303.7,8.6,4.16,Resting
Cynthia Andrews,15035,79.4,2503.8,7.3,8.95,Walking
Mary Ortiz,3809,62.3,3091.8,8.6,5.16,Running
John Rivera,4075,89.5,2513.0,9.8,8.09,Resting
Kenneth Bailey,19311,73.7,2479.6,8.0,6.37,Running
Jeremy Luna,19144,72.6,2431.0,8.3,9.32,Running
Kathy Joseph,18368,84.2,2483.0,4.7,2.07,Resting
Rebecca Jones,11794,66.2,2510.0,5.5,12.49,Running
Lori Kim,4067,62.3,1826.1,5.0,6.72,Resting
Aaron Moore,6388,86.8,2563.9,8.4,8.45,Resting
Andrew Bowman,2186,66.8,2039.1,5.5,6.9,Walking
William Gay,7452,95.7,2027.5,7.6,1.16,Resting
Vincent Nielsen MD,19999,69.1,2530.8,7.5,13.77,Walking
Thomas Rodriguez,17148,76.1,2544.0,7.2,11.28,Running
Christopher Martinez,4783,76.5,2228.0,8.8,13.07,Cycling
Brenda Clayton,18264,74.2,1875.3,8.2,10.1,Running
Angela Davis MD,6608,63.4,2215.1,9.0,8.96,Resting
Kerri Gonzalez,18056,89.6,1792.5,6.5,5.63,Resting
Shelby Dickerson,7968,75.0,1918.4,6.4,8.76,Running
David Perez,14527,73.2,1722.4,7.0,13.48,Running
Daniel Schultz,1392,74.4,2529.1,6.5,2.88,Walking
Michael Woodard,10788,69.0,2124.4,4.3,5.4,Resting
Melissa Davies,12083,76.6,2380.8,6.6,2.66,Running
Stacey Hill,15906,86.4,1932.6,4.5,3.81,Running
Gabriel Johnson,1383,61.8,2091.0,6.0,11.11,Walking
Thomas Perkins,18493,62.9,2660.3,9.1,12.66,Walking
Andrea Morrison,7870,82.4,2483.4,7.1,1.51,Walking
David Best,13623,90.1,2248.6,8.9,6.03,Walking
Clayton Fox,17186,76.0,2847.5,5.3,1.98,Running
